Country;tourist;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
MK;EUR;:;;1280951;1245118;1212505;1374121;1400914;1430850;1439920;1543897;1581612;1831792;2046512;;;;;
MK;WORLD;:;;1354266;1313992;1266095;1435015;1459771;1499077;1519013;1640003;1695084;1975211;2211589;;;;;
MT;EUR;7692824;7510843;6514651;7224992;7154126;7273456;7898115;8094304;8327194;8341345;8911463;9337102;;;;;;
MT;WORLD;8082229;7918223;6903106;7612280;7652369;7832229;8501147;8780948;8915297;8971191;9580328;10114196;;;;;;
NL;EUR;84331700;81046400;81181000;80942400;81160500;79769866;91517699;94748703;98058300;100382433;104724495;108829892;;;;;;
NL;WORLD;88266900;84452200;84516100;84873000;85368400;84050384;96074132;99751562;103534301;106212858;111697813;116081577;;;;;;
NO;EUR;27797180;27779301;27294258;27686606;28133924;28910449;28177868;29335699;30067571;31240874;:;;:;;;;;
NO;WORLD;28663930;28595454;28026831;28541300;29074313;29914832;29310429;30614057;31591222;32974578;:;;:;;;;;
PL;EUR;53658192;55514301;53923715;54507748;55851464;60556834;61360006;64892893;69430648;77233118;81486259;86257083;;;;;;
PL;WORLD;54953722;56645518;55020067;55794467;57148253;62014890;62959452;66579589;71234421;79393860;83880915;88860463;;;;;;
PT;EUR;45529147;44851423;42088643;42362894;43751864;43352964;45929227;50232219;54319503;60078274;64132641;:;;;;;;
PT;WORLD;47964609;47328702;44364742;45035005;46857858;46781091;49888259;54979437;59419938;66014226;72035786;:;;;;;;
RO;EUR;19961467;20142905;16858279;15505964;17387520;18462099;18623928;19315802;22223199;23988791;25485727;:;;;;;;
RO;WORLD;20593349;20725981;17325410;16051135;17979439;19091379;19301768;20230245;23445286;25274649;26915573;:;;;;;;
RS;EUR;:;;:;;:;;:;;:;;6178349;6120218;5693144;6288650;7148373;:;;:
RS;WORLD;:;;:;;:;;:;;:;;6359685;6368597;5954322;6619439;7502498;:;;:
SE;EUR;47003913;45095662;45998210;46292649;46518650;46594486;47619960;49767419;52598162;53897889;54865824;:;;;;;;
SE;WORLD;48605245;46540868;47390976;47900298;48422673;48585972;49710427;52280371;55611847;57234148;58683201;:;;;;;;
SI;EUR;7616490;8477991;8204476;8053852;8446037;8875593;8872429;8773927;9375623;10079157;11333697;:;;;;;;
SI;WORLD;7992710;8870148;8556122;8424741;8860328;9406009;9471571;9470452;10224207;11057731;12460084;:;;;;;;
SK;EUR;11070353;11920290;9972388;9897461;10027938;10341819;10916070;10398205;11637734;13325129;13999626;14518286;;;;;;
SK;WORLD;11422643;12259115;10252657;10240479;10415637;10770328;11345641;10781015;12176275;13894782;14667937;15188140;;;;;;
UK;EUR;228291693;222804312;231151598;201103620;196805038;264489184;:;;:;;348068470;361452050;:;;:;;;
UK;WORLD;261884251;251505661;262204519;234263131;231257831;310135542;:;;:;;465438028;476356100;:;;:;;;
